id,comment,ranges,hierarchyLevel,parentId
193,56,"{""{\""start\"":\""/div[1]/table[6]/tbody[1]/tr[2]/td[1]\"",\""startOffset\"":0,\""end\"":\""/div[1]/table[6]/tbody[1]/tr[3]/td[3]\"",\""endOffset\"":46}""}",1,
192,59,"{""{\""start\"":\""/div[1]/table[1]/tbody[1]/tr[10]/td[1]\"",\""startOffset\"":16,\""end\"":\""/div[1]/table[1]/tbody[1]/tr[10]/td[1]\"",\""endOffset\"":27}""}",1,
191,62,"{""{\""start\"":\""/div[1]/table[3]/tbody[1]/tr[2]/td[3]\"",\""startOffset\"":138,\""end\"":\""/div[1]/table[3]/tbody[1]/tr[2]/td[3]\"",\""endOffset\"":139}""}",1,
190,68,"{""{\""start\"":\""/div[1]/table[1]/tbody[1]/tr[4]/td[1]\"",\""startOffset\"":0,\""end\"":\""/div[1]/table[1]/tbody[1]/tr[4]/td[1]\"",\""endOffset\"":34}""}",1,
189,69,"{""{\""start\"":\""/div[1]/table[1]/tbody[1]/tr[5]/td[1]\"",\""startOffset\"":0,\""end\"":\""/div[1]/table[1]/tbody[1]/tr[5]/td[1]\"",\""endOffset\"":15}""}",1,
188,94,"{""{\""start\"":\""/div[1]/table[1]/tbody[1]/tr[8]/td[1]\"",\""startOffset\"":9,\""end\"":\""/div[1]/table[1]/tbody[1]/tr[8]/td[1]\"",\""endOffset\"":13}""}",1,
187,77,"{""{\""start\"":\""/div[1]/ul[2]/li[1]\"",\""startOffset\"":238,\""end\"":\""/div[1]/ul[2]/li[1]\"",\""endOffset\"":348}""}",1,
186,35,"{""{\""start\"":\""/div[1]/ul[3]/li[1]/strong[1]\"",\""startOffset\"":0,\""end\"":\""/div[1]/ul[3]/li[1]\"",\""endOffset\"":468}""}",1,
185,36,"{""{\""start\"":\""/div[1]/ol[9]/li[3]\"",\""startOffset\"":67,\""end\"":\""/div[1]/ol[9]/li[3]\"",\""endOffset\"":86}""}",1,
184,37,"{""{\""start\"":\""/div[1]/h3[14]\"",\""startOffset\"":0,\""end\"":\""/div[1]/h3[14]\"",\""endOffset\"":32}""}",1,
183,38,"{""{\""start\"":\""/div[1]/h3[16]\"",\""startOffset\"":30,\""end\"":\""/div[1]/h3[16]\"",\""endOffset\"":45}""}",1,
